model_name,cpu_cores,gpu_mode,gpu_name,mem_cap_gb,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_w,peak_power_w,energy_j,status,error
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2048,1024,1,2,0.12612883490000967,7.928401152621155,2.551000000000027,7.802950000000038,0.3258066768245113,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2048,1024,2,2,0.12113302699999622,8.255386864888889,1.440646153846139,7.4107999999999805,0.16892890863167967,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2048,1024,3,2,0.13804262720004773,7.244139149502178,1.4199068965517045,5.514949999999956,0.1928763898735572,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2048,1024,4,2,0.1204719342998942,8.3006885031884,1.6346615384615508,7.72620000000002,0.1930090402628384,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2560,1024,0,2,0.13701801749994047,7.298310238654814,2.2458379310344587,7.385699999999957,0.31357729097352094,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2560,1024,1,2,0.12490533540003526,8.006063126105001,2.1986277777777734,8.564049999999995,0.27719256853598545,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2560,1024,2,2,0.12824496049997833,7.797577355877223,1.6650392857142597,7.743299999999962,0.2159615672092518,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2560,1024,3,2,0.1543794147000881,6.4775475534914655,2.567287878787858,6.299499999999966,0.4124339786187051,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2560,1024,4,2,0.12304002809996746,8.127436375319427,2.3982307692307816,9.244000000000014,0.2896666365127472,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3072,1024,0,2,0.1254546565000055,7.971007437256473,2.266033333333305,9.694699999999955,0.28410081838782386,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3072,1024,1,2,0.14597944760007522,6.850279381379743,1.9278387096774288,8.09950000000002,0.27965528607667356,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3072,1024,2,2,0.12549777800013545,7.96826856965484,1.7502296296296298,8.9529,0.21414788455052944,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3072,1024,3,2,0.1396848725000382,7.158971348166041,1.8551649122807297,7.111052631579,0.26183907184980904,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3072,1024,4,2,0.12827094110016332,7.79599799785617,2.036560714285724,9.178100000000015,0.2629002956013281,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3584,1024,0,2,0.13147083969997767,7.606249433578158,2.3969464285714244,8.675249999999991,0.31533774141844106,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3584,1024,1,2,0.14414346499997918,6.937532686619851,2.1812903225806566,8.746000000000024,0.3175716759751747,ok,
