model_name,cpu_cores,gpu_mode,gpu_name,mem_cap_gb,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_w,peak_power_w,energy_j,status,error
amazon/chronos-2,8,GPU_off,nan,16,1,4096,1024,2,2,0.44406053799991696,2.2519452066244785,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4096,1024,3,2,0.4425001399999928,2.2598862906574815,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4096,1024,4,2,0.4538920810000491,2.203166880102259,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4608,1024,0,2,0.48894876999997905,2.0452040404970093,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4608,1024,1,2,0.47881667600006494,2.088481980940581,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4608,1024,2,2,0.5118947189999972,1.953526697742716,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4608,1024,3,2,0.7617661370001088,1.3127388465153804,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4608,1024,4,2,0.5637731949999534,1.773762940254871,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5120,1024,0,2,0.5510186449999992,1.8148206219047296,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5120,1024,1,2,0.5078276429999278,1.9691720483993862,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5120,1024,2,2,0.5125704529999666,1.9509513163453165,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5120,1024,3,2,0.505656560000034,1.9776268699054014,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5120,1024,4,2,0.9216776529999606,1.0849780253921841,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5632,1024,0,2,0.5407131090000803,1.8494095729420377,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5632,1024,1,2,0.5390540020000572,1.8551017083440444,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5632,1024,2,2,0.5467346030000044,1.8290409908443126,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5632,1024,3,2,0.548005073000013,1.8248006255226332,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,5632,1024,4,2,0.5421717880000188,1.8444338531313722,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,6144,1024,0,2,0.5655901559999847,1.768064718580475,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,6144,1024,1,2,0.5662318739999819,1.7660609476746483,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,6144,1024,2,2,0.5703430620000063,1.7533306997604698,nan,nan,nan,ok,
